X,median.household.income,median_family_income,pop_high_school_diploma,pop_bach_degree,total.population,median.age,state,county,tract,sales,x_2015,n,pc_sales,id,sales_millions
842,55158,61707,1089,341,5031,35.5,26,81,104.01,0,NA,0,0,104.01,0
843,41538,55446,876,319,4112,35.9,26,81,104.02,11146473,1021074.5,19,2710.7181420233464,104.02,11.146473
844,78166,84260,1689,1741,10391,36,26,81,106,17998987,1686649.5,13,1732.1708209027042,106,17.998987
845,51500,71563,485,838,5236,32.6,26,81,107,15125447,1876016.5,12,2888.740832696715,107,15.125447
846,78822,82566,1124,1304,7679,38,26,81,108.01,3294206,397134,2,428.98893085037116,108.01,3.294206
847,59605,59211,1391,391,5789,38.5,26,81,108.02,9922447,924292,9,1714.0174468820176,108.02,9.922447
848,67083,76471,707,563,3753,44.7,26,81,109.02,2657817.5,114178,5,708.1847855049294,109.02,2.6578175
849,81409,91250,458,1540,6859,41.1,26,81,109.03,6142882,660167.5,5,895.594401516256,109.03,6.142882
850,86741,97788,672,1074,6443,41.2,26,81,109.04,1836716,112905.5,2,285.07155051994414,109.04,1.836716
851,80357,85257,521,688,3849,41.6,26,81,110.01,13765109,1154512.5,5,3576.2818914003637,110.01,13.765109
852,58750,73182,560,490,3754,39.2,26,81,110.02,0,NA,0,0,110.02,0
853,49886,63205,803,512,3982,40.2,26,81,111.01,13655171,1279718,11,3429.224259166248,111.01,13.655171
854,80579,84737,734,822,5131,38.2,26,81,111.02,8133396.5,594476,5,1585.1484116156694,111.02,8.1333965
855,51378,66806,970,410,3917,39.9,26,81,112,17793125,1782189.5,9,4542.538932856778,112,17.793125
856,57528,65300,689,709,4876,35.3,26,81,113.01,11552967.5,1078537.5,16,2369.3534659557013,113.01,11.5529675
857,48794,79199,937,1094,5898,40.3,26,81,113.02,13959769,1361979,8,2366.8648694472704,113.02,13.959769
858,60163,67824,621,234,2416,39.5,26,81,114.01,16616549,1672213,8,6877.710678807947,114.01,16.616549
859,49688,64048,403,345,2545,36,26,81,114.03,6730411.5,584945.5,9,2644.5624754420433,114.03,6.7304115
860,49527,54592,562,302,2756,41.4,26,81,114.05,13096221.5,926268.5,7,4751.8945936139335,114.05,13.0962215
861,35335,36417,868,295,5678,27,26,81,114.06,4365836,424498.5,4,768.9038393800635,114.06,4.365836
862,41535,47056,1325,683,6830,32.9,26,81,115,23907485.5,2164712.5,18,3500.363909224012,115,23.9074855
863,68087,78214,1340,1320,7971,39.2,26,81,116,13379909.5,1511628,14,1678.5735164973028,116,13.3799095
864,61178,72067,910,783,5360,34.9,26,81,117.01,8559213.5,793795.5,9,1596.8681902985074,117.01,8.5592135
865,45313,75156,810,514,4272,32.7,26,81,117.02,14940861,1564100.5,13,3497.392556179775,117.02,14.940861
866,70815,82340,801,1313,6805,39.4,26,81,118.01,6691843,576308.5,12,983.3714915503307,118.01,6.691843
867,74531,94044,344,731,4305,32.7,26,81,118.03,11347955.5,1131078,4,2635.9943089430894,118.03,11.3479555
868,69067,83594,490,1066,4763,48.3,26,81,118.04,9922358,886025,10,2083.2160403107287,118.04,9.922358
869,119229,131354,501,1091,5772,44.2,26,81,119.01,1221667,0,3,211.6540194040194,119.01,1.221667
870,100573,105241,501,1678,7379,35.2,26,81,119.02,4994477,514197.5,4,676.8501151917604,119.02,4.994477
871,67064,75533,1160,800,6349,39,26,81,120.02,4705593.5,548823,4,741.1550637895732,120.02,4.7055935
872,62969,74740,1103,815,6063,40,26,81,120.03,6886821.5,749071,2,1135.876876133927,120.03,6.8868215
873,48194,55912,1048,536,4674,37.9,26,81,120.04,14019145,1436117,17,2999.3891741548996,120.04,14.019145
874,92800,112399,624,1551,6739,42,26,81,122.01,16115480,1590411,11,2391.375575011129,122.01,16.11548
875,119980,121831,372,1726,6583,39.9,26,81,122.02,0,NA,0,0,122.02,0
876,74868,93068,455,888,3865,46.8,26,81,122.03,16808094,1509096.5,16,4348.795342820181,122.03,16.808094
877,97356,119318,86,850,3248,42.7,26,81,123,2005964.5,160949,2,617.599907635468,123,2.0059645
878,105139,114598,63,1244,3806,35.3,26,81,124,6100,0,2,1.6027325275880189,124,0.0061
879,111190,119236,183,1234,4440,39.2,26,81,125,0,NA,0,0,125,0
880,75110,85969,468,1363,5587,31.2,26,81,126.04,4307901,400350,2,771.057991766601,126.04,4.307901
881,82841,103375,155,677,3064,37,26,81,126.05,0,NA,0,0,126.05,0
882,27880,30476,710,614,5550,25.5,26,81,126.06,6334097,501016,13,1141.2787387387386,126.06,6.334097
883,30086,34040,1187,562,5403,28.2,26,81,126.07,1200024.5,91756.5,3,222.10336849898204,126.07,1.2000245
884,46496,65728,487,610,3379,30.7,26,81,126.08,15381711,1651843,19,4552.148860609648,126.08,15.381711
885,38074,47105,857,620,6751,31.2,26,81,127.01,11403150,737834,14,1689.1053177307065,127.01,11.40315
886,86125,90652,545,825,4600,36.8,26,81,127.02,0,NA,0,0,127.02,0
887,53198,57500,946,584,5250,31,26,81,127.03,8933627,558411.5,7,1701.643238095238,127.03,8.933627
888,52757,58571,906,801,4279,37.7,26,81,128,8827162.5,802478.5,7,2062.9031315727975,128,8.8271625
889,33672,37019,940,203,4798,31.8,26,81,129.01,15307773,1513727.5,25,3190.448728636932,129.01,15.307773
890,42630,54899,908,434,4302,37,26,81,129.02,7624831,1002866,16,1772.3921431892143,129.02,7.624831
891,53382,59926,660,498,3289,32.9,26,81,130,27752188,2165755,32,8437.880206749773,130,27.752188
892,41458,63413,783,536,4937,34.9,26,81,131,11068242.5,948726.5,5,2241.8963945716023,131,11.0682425
893,57716,71429,1021,1238,7276,36.8,26,81,132,14335970.5,1720104,10,1970.3093045629466,132,14.3359705
894,42998,42381,838,198,4705,28.4,26,81,133,17616190.5,776581.5,19,3744.1425079702444,133,17.6161905
895,48622,53590,1126,413,5656,31.1,26,81,134,9237968.5,1025774,10,1633.3041902404527,134,9.2379685
896,28842,39718,732,197,4652,32.3,26,81,135,13211429.5,1649446,12,2839.9461521926055,135,13.2114295
897,42917,50659,370,108,2010,33.2,26,81,136,21516071,1789268.5,20,10704.512935323382,136,21.516071
898,41701,45452,1170,449,6397,33.9,26,81,137,22733795,2104160,17,3553.8213224949195,137,22.733795
899,34936,34583,292,70,1423,38.1,26,81,138.01,3090302.5,369024,1,2171.681307097681,138.01,3.0903025
900,32828,37800,1404,541,6549,31.1,26,81,138.02,15316936,1427013,13,2338.8205832951594,138.02,15.316936
901,44684,54282,1148,916,6993,32.4,26,81,139,9091492,735388.5,8,1300.084656084656,139,9.091492
902,41336,48899,1282,455,7230,33.3,26,81,140,21627173.5,1881155,13,2991.31030428769,140,21.6271735
903,38429,43042,412,58,1875,37.6,26,81,141,21295253,1126194.5,9,11357.468266666667,141,21.295253
904,43826,47315,916,190,3905,33.3,26,81,142,7370849.5,723412,11,1887.541485275288,142,7.3708495
905,50923,54384,733,191,3152,30.8,26,81,143,8941904.5,821199.5,6,2836.898635786802,143,8.9419045
906,63431,81503,1520,1462,10386,33.3,26,81,145.01,1097707.5,169342,4,105.69107452339688,145.01,1.0977075
907,60987,74263,1161,1098,7603,35.2,26,81,145.02,32299511.5,3208957,19,4248.258779429173,145.02,32.2995115
908,61447,70577,1539,1077,7749,41.8,26,81,146.01,6692180,807129.5,8,863.6185314234094,146.01,6.69218
909,63343,71888,1685,1189,8971,38,26,81,146.02,26563132.5,3070626,26,2961.0001672054395,146.02,26.5631325
910,36312,30938,690,176,3559,29.1,26,81,147.01,11792748.5,1009493,15,3313.5005619556055,147.01,11.7927485
911,33323,36125,691,207,3978,30.3,26,81,147.03,8415312,910786.5,7,2115.463046757164,147.03,8.415312
912,53510,53587,607,335,3147,33.8,26,81,147.04,0,NA,0,0,147.04,0
913,69526,77396,589,530,3016,40.3,26,81,148.03,0,NA,0,0,148.03,0
914,46168,55612,1309,885,7829,33.8,26,81,148.04,12835199.5,1733793,14,1639.4430323157492,148.04,12.8351995
915,83317,84038,716,1437,7099,37.9,26,81,148.05,1393819,0,1,196.34018875898013,148.05,1.393819
916,85045,88000,820,936,5458,40.8,26,81,148.06,0,NA,0,0,148.06,0
917,69958,85714,861,983,6861,35.1,26,81,148.07,19858136,2088591.5,20,2894.3500947383764,148.07,19.858136
