X,Retailer.Id,Retailer.Name,Complete.Address.x,City,State.x,Zip,Zip.4,Status.Description,Acivation.Date,Total.sales,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,calctotal,MatchedAddress,County,Tract,Block,Long,Lat,calctotal2
12511,26585,REMEMBRANCE MARATHON MRT,3434 REMEMBRANCE RD NW,GRAND RAPIDS,MI,49544,2206,Active,11/9/94,4457291,86063.5,145322.5,157339.5,189451,211027.5,241401.5,286649,316171.5,337935.5,411802,524762,611947.5,531368.5,406049.5,4457291,"3434 Remembrance Rd NW, GRAND RAPIDS, MI, 49534",81,11600,4013,-85.75296,42.990356,4457.291
12512,26586,TOTAL MART 4282,4384 KALAMAZOO AVE SE,GRAND RAPIDS,MI,49508,3609,Deleted,4/14/95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"4384 Kalamazoo Ave SE, GRAND RAPIDS, MI, 49508",81,4500,5023,-85.62597,42.88388,0
12514,26588,TOTAL MART 4381,2046 28TH ST SW,WYOMING,MI,49509,2588,Deleted,1/22/92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2046 28th St SW, WYOMING, MI, 49519",81,13802,2004,-85.71655,42.913723,0
12516,26590,TOTAL MART 4265,3210 PLAINFIELD AVE NE,GRAND RAPIDS,MI,49525,2702,Deleted,5/25/95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3210 Plainfield Ave NE, GRAND RAPIDS, MI, 49525",81,11801,1024,-85.635025,43.020027,0
12520,26610,HERITAGE MARKET,301 MICHIGAN ST NE,GRAND RAPIDS,MI,49503,3314,Deleted,1/1/85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"301 Michigan St NE, GRAND RAPIDS, MI, 49503",81,2100,1003,-85.66151,42.97029,0
12522,26613,GRAND VALLEY PARTY STORE,3129 28TH ST SW,GRANDVILLE,MI,49418,1110,Deleted,12/3/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3129 28th St SW, GRANDVILLE, MI, 49418",81,13000,1014,-85.74195,42.913612,0
12531,26629,FRIENDLY FOOD SHOP #2,4405 S DIVISION AVE,GRAND RAPIDS,MI,49548,4304,Deleted,5/13/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"4405 S Division Ave, GRAND RAPIDS, MI, 49548",81,14300,1000,-85.66474,42.883816,0
12534,26635,NP MARKET,1542 DIAMOND AVE NE,GRAND RAPIDS,MI,49505,5273,Deleted,1/7/92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1542 Diamond Ave NE, GRAND RAPIDS, MI, 49505",81,1000,2001,-85.6448,42.990887,0
12545,26670,ZIGGYS SPECIALTY BEV'RGE,701 KNAPP ST NE,GRAND RAPIDS,MI,49505,4274,Deleted,6/2/94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"701 Knapp St NE, GRAND RAPIDS, MI, 49505",81,400,3009,-85.65332,42.999043,0
12546,26671,ROCKFORD C-STORE #13,66 E BRIDGE ST,ROCKFORD,MI,49341,1271,Active,1/1/85,3611275,87520.5,142355.5,171907,188788,235551,252633.5,246186,250432,293615.5,285802.5,316061.5,376650.5,433186.5,330585,3611275,"66 E Bridge St NE, ROCKFORD, MI, 49341",81,10700,3000,-85.55865,43.11979,3611.275
12547,26673,RITE AID DISC PHARM 1680,3232 28TH ST,GRANDVILLE,MI,49418,1423,Deleted,9/1/95,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3232 28th St SW, GRANDVILLE, MI, 49418",81,13000,2002,-85.74489,42.91355,0
12549,26680,J & R SUPERMARKET,3900 S DIVISION AVE,WYOMING,MI,49548,3274,Deleted,5/5/92,114817.5,69818.5,44999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114817.5,"3900 S Division Ave, WYOMING, MI, 49548",81,14200,2040,-85.66506,42.893105,114.8175
12550,26682,WC ENTERPRISES,6773 BROADMOOR AVE SE,CALEDONIA,MI,49316,9511,Deleted,5/13/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"6773 Broadmoor Ave SE, CALEDONIA, MI, 49316",81,14807,1023,-85.53154,42.841152,0
12551,26684,JOHN WHITE AMOCO,1 HALL ST SW,GRAND RAPIDS,MI,49507,1029,Deleted,10/23/92,331757.5,286102,45655.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331757.5,"1 Hall St SW, GRAND RAPIDS, MI, 49507",81,2800,2021,-85.667465000000007,42.94151,331.7575
12554,26690,ROOSEVELT MARKET,1428 GRANDVILLE AVE SW,GRAND RAPIDS,MI,49509,1113,Terminated,5/23/92,1057102.5,44314,95219.5,95262.5,94288.5,135983.5,164830,231766.5,195438,NA,NA,NA,NA,NA,NA,1057102.5,"1428 Grandville Ave SW, GRAND RAPIDS, MI, 49503",81,3900,1021,-85.685074,42.937275,1057.1025
12557,26699,MEADOWBROOK MOBIL MART,4919 TOWN CENTER CT SE,KENTWOOD,MI,49512,9669,Deleted,12/29/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"4919 Town Center Ct SE, KENTWOOD, MI, 49512",81,12203,3089,-85.54532,42.859715,0
12558,26704,SAM D'AMICO SUPERMARKET,601 EASTERN AVE SE,GRAND RAPIDS,MI,49503,5516,Active,6/17/93,5969524,301879,501472,463009,440778,428960,438429.5,484223.5,472601,452047,399418.5,356764,414803.5,471732,343407,5969524,"601 Eastern Ave SE, GRAND RAPIDS, MI, 49503",81,3000,2000,-85.64929,42.95193,5969.524
12563,26720,DUTTON QUIK STOP,6809 HANNA LAKE AVE SE,CALEDONIA,MI,49316,9118,Terminated,6/25/92,1393819,217107.5,168474.5,198663,262428,282797,264349,NA,NA,NA,NA,NA,NA,NA,NA,1393819,"6809 Hanna Lake Ave SE, CALEDONIA, MI, 49316",81,14805,2000,-85.58518,42.840908,1393.819
12566,26728,COLLEGE AVE PARTY STORE,900 COLLEGE AVE NE,GRAND RAPIDS,MI,49503,1751,Active,5/25/95,1322814.5,28204.5,63977.5,81669,61941.5,64950,51168,83955.5,114080,153331,119133.5,115767,136473.5,137325.5,110838,1322814.5,"900 College Ave NE, GRAND RAPIDS, MI, 49503",81,1200,1024,-85.65703,42.97915,1322.8145
12567,26730,PARTY COOLER INC,1001 MICHIGAN ST NE,GRAND RAPIDS,MI,49503,1907,Active,8/8/92,3531868,307248.5,419717,380915,334803.5,290012,258689,238389,209510,207792.5,184359.5,195393.5,195391,183810,125837.5,3531868,"1001 Michigan St NE, GRAND RAPIDS, MI, 49503",81,2200,1027,-85.64446,42.970024,3531.868
12569,26737,PLUMB'S #682,830 28TH ST SW,WYOMING,MI,49509,2849,Deleted,7/30/92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"830 28th St SW, WYOMING, MI, 49509",81,13700,2000,-85.69474,42.913387,0
12572,26748,RICHARDS SPECIAL BEV'AGE,1237 PLAINFIELD AVE NE,GRAND RAPIDS,MI,49505,4903,Deleted,8/8/92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1237 Plainfield Ave NE, GRAND RAPIDS, MI, 49505",81,900,3027,-85.66686,42.98565,0
