X,Retailer.Id,Retailer.Name,Complete.Address.x,City,State.x,Zip,Zip.4,Status.Description,Acivation.Date,Total.sales,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,calctotal,MatchedAddress,County,Tract,Block,Long,Lat,calctotal2
18,100024,J&K PARTY STORE,1237 PLAINFIELD AVE NE,GRAND RAPIDS,MI,49505,4903,Terminated,5/14/09,518662.5,NA,NA,NA,NA,NA,NA,49963.5,89964,90930.5,103964.5,112523.5,71316.5,NA,NA,518662.5,"1237 Plainfield Ave NE, GRAND RAPIDS, MI, 49505",81,900,3027,-85.66686,42.98565,518.6625
91,100120,BAILEYS GROVE BEVERAGE,3866 52ND SE,KENTWOOD,MI,49512,9637,Active,10/20/09,528344,NA,NA,NA,NA,NA,NA,6502,34611,54340,77415.5,67691,93554,106764.5,87466,528344,"3866 52nd St SE, KENTWOOD, MI, 49512",81,12604,2007,-85.56971,42.86901,528.344
166,100214,TINI BIKINIS BAR & GRILL,76 S DIVISION ST,GRAND RAPIDS,MI,49503,NA,Terminated,11/4/09,37261,NA,NA,NA,NA,NA,NA,466,26562,10233,NA,NA,NA,NA,NA,37261,"76 S Division Ave, GRAND RAPIDS, MI, 49503",81,2000,2002,-85.66784,42.96218,37.261
185,100235,ABC FINE WINES & SPIRITS,3325 28TH ST,KENTWOOD,MI,49512,NA,Terminated,6/5/09,54496.5,NA,NA,NA,NA,NA,NA,13390.5,33416.5,7689.5,NA,NA,NA,NA,NA,54496.5,"3325 28th St SE, KENTWOOD, MI, 49512",81,4400,4008,-85.5852,42.912514,54.4965
218,100281,DOCTOR OIL COMPANY,777 44TH ST,KENTWOOD,MI,49548,NA,Terminated,6/1/09,84376,NA,NA,NA,NA,NA,NA,48222,36154,NA,NA,NA,NA,NA,NA,84376,"777 44th St SE, KENTWOOD, MI, 49548",81,12901,1001,-85.64648,42.88383,84.376
268,100342,CAP & CORK,3924 W RIVER DRIVE,COMSTOCK PARK,MI,49321,8997,Terminated,5/10/10,48215,NA,NA,NA,NA,NA,NA,NA,18716.5,29498.5,NA,NA,NA,NA,NA,48215,"3924 W River Dr NE, COMSTOCK PARK, MI, 49321",81,11101,2031,-85.666214,43.03348,48.215
283,100360,SUPERMERCADO MICHOACAN,602 LEONARD ST NW,GRAND RAPIDS,MI,49504,4205,Terminated,10/22/09,33887,NA,NA,NA,NA,NA,NA,480,22887,10520,NA,NA,NA,NA,NA,33887,"602 Leonard St NW, GRAND RAPIDS, MI, 49504",81,1500,1010,-85.68255,42.985035,33.887
288,100367,JULIANS II,2053 S DIVISION AVE,GRAND RAPIDS,MI,49507,3053,Terminated,6/27/09,319849,NA,NA,NA,NA,NA,NA,112782,207067,NA,NA,NA,NA,NA,NA,319849,"2053 Division Ave S, GRAND RAPIDS, MI, 49507",81,4000,1000,-85.66665,42.926937,319.849
314,100401,STOCKBRIDGE BP,438 STOCKING AVE NW,GRAND RAPIDS,MI,49504,5502,Active,6/17/09,956180.5,NA,NA,NA,NA,NA,NA,68840.5,156038,139748,118269,105879,123720.5,141371,102314.5,956180.5,"438 Stocking Ave NW, GRAND RAPIDS, MI, 49504",81,1900,1039,-85.68434,42.971172,956.1805
317,100406,D&W QUICK STOP #713,6799 CASCADE RD SE,GRAND RAPIDS,MI,49546,0,Active,6/30/09,1213072.5,NA,NA,NA,NA,NA,NA,40550,85852,105804.5,124528,150077.5,235041.5,240816,230403,1213072.5,"6799 Cascade Rd SE, GRAND RAPIDS, MI, 49546",81,12201,3012,-85.49885,42.91305,1213.0725
319,100408,SUPERMERCADO GUADALAJARA,2059 S DIVISION AVE,GRAND RAPIDS,MI,49507,3000,Terminated,10/26/09,75441.5,NA,NA,NA,NA,NA,NA,1604,36810.5,24954.5,12072.5,NA,NA,NA,NA,75441.5,"2059 Division Ave S, GRAND RAPIDS, MI, 49507",81,4000,1006,-85.666626,42.92656,75.4415
409,100521,DUDLEY PARTY STORE,3418 PLAINFIELD AVE,GRAND RAPIDS,MI,49525,2717,Terminated,11/10/09,273470.5,NA,NA,NA,NA,NA,NA,1551,91351,83164,85898,11506.5,NA,NA,NA,273470.5,"3418 Plainfield Ave NE, GRAND RAPIDS, MI, 49525",81,11801,1011,-85.63265,43.024994,273.4705
496,100629,GUDDI BEER & WINE,1220 COLLEGE AVE NE,GRAND RAPIDS,MI,49505,5141,Terminated,2/8/10,25633,NA,NA,NA,NA,NA,NA,NA,25633,NA,NA,NA,NA,NA,NA,25633,"1220 College Ave NE, GRAND RAPIDS, MI, 49505",81,1000,3025,-85.657104,42.985367,25.633
527,100669,PIETRO'S #990,2780 BIRCHCREST SE,GRAND RAPIDS,MI,49506,5477,Terminated,1/26/10,25217,NA,NA,NA,NA,NA,NA,NA,9338,8323,5402,2154,NA,NA,NA,25217,"2780 Birchcrest Dr SE, GRAND RAPIDS, MI, 49506",81,4300,3009,-85.611496,42.9129,25.217
552,100696,FOREST HILLS INN,4609 CASCADE RD,GRAND RAPIDS,MI,49546,3717,Terminated,1/28/10,408714,NA,NA,NA,NA,NA,NA,NA,84392,68053,50352,48043,66995,63969,26910,408714,"4609 Cascade Rd SE, GRAND RAPIDS, MI, 49546",81,11804,1020,-85.55534,42.946087,408.714
553,100697,PFEFFER'S,1054 BURTON SW,WYOMING,MI,49509,NA,Active,2/26/10,1755355.5,NA,NA,NA,NA,NA,NA,NA,89528.5,143125,156507.5,198533,324066.5,481126.5,362468.5,1755355.5,"1054 Burton St SW, WYOMING, MI, 49509",81,13500,2006,-85.69308,42.92798,1755.3555
658,100819,SAMI'S PARTY STORE,1499 WEALTHY SE,GRAND RAPIDS,MI,49506,2716,Terminated,9/19/09,283767,NA,NA,NA,NA,NA,NA,21088,116841,97195.5,48642.5,NA,NA,NA,NA,283767,"1499 Wealthy St SE, GRAND RAPIDS, MI, 49506",81,2400,2011,-85.63289,42.95553,283.767
670,100833,AMERICAN LEGION POST 179,2327 WILSON AVE SW,GRAND RAPIDS,MI,49534,6501,Active,3/4/10,827105,NA,NA,NA,NA,NA,NA,NA,106855.5,111167.5,118359.5,139263,173637.5,113656,64166,827105,"2327 Wilson Ave NW, GRAND RAPIDS, MI, 49534",81,11600,5007,-85.777664,43.00737,827.105
672,100835,BELLAVINOS FINE WINE&SPIRITS,3920 PLAINFIELD NE,GRAND RAPIDS,MI,49525,1602,Active,10/3/09,1370592,NA,NA,NA,NA,NA,NA,22577.5,155272,169640.5,174317,217354,264125.5,210654,156651.5,1370592,"3920 Plainfield Ave NE, GRAND RAPIDS, MI, 49525",81,11302,4008,-85.62105,43.03429,1370.592
674,100838,FAMILY FR QK #760,1600 28TH ST SW,WYOMING,MI,49509,7013,Active,10/14/09,3203859,NA,NA,NA,NA,NA,NA,34041,272020.5,322111,372560.5,496075.5,578701,572790,555559.5,3203859,"1600 28th St SW, WYOMING, MI, 49519",81,13802,2000,-85.7054,42.9135,3203.859
698,100862,EASTERN GAS STATION,3260 EASTERN SE AVE,GRAND RAPIDS,MI,49508,2403,Terminated,5/12/10,144029.5,NA,NA,NA,NA,NA,NA,NA,66165,77864.5,NA,NA,NA,NA,NA,144029.5,"3260 Eastern Ave SE, GRAND RAPIDS, MI, 49508",81,4600,1011,-85.64662,42.904568,144.0295
714,100881,PEPPINO'S GRLE PIZZERIA&SPRTS,130 IONIA AVE SW,GRAND RAPIDS,MI,49503,4115,Active,11/17/09,880430.5,NA,NA,NA,NA,NA,NA,17570,157910,113225.5,103852,142990.5,143068,126255.5,75559,880430.5,"130 Ionia Ave SW, GRAND RAPIDS, MI, 49503",81,2000,2025,-85.67017,42.96054,880.4305
798,100980,OUR FOOD MARKET,423 WEBSTER NW,GRAND RAPIDS,MI,49504,3238,Terminated,3/15/10,123936.5,NA,NA,NA,NA,NA,NA,NA,21881,40208.5,50953.5,10893.5,NA,NA,NA,123936.5,"423 Webster St NW, GRAND RAPIDS, MI, 49504",81,800,1025,-85.67849,42.989918,123.9365
849,101036,CLARK FOOD CENTER,363 STATE ST SE,GRAND RAPIDS,MI,49503,4326,Terminated,12/8/09,368183.5,NA,NA,NA,NA,NA,NA,3065.5,132309.5,162871,69937.5,NA,NA,NA,NA,368183.5,"363 State St SE, GRAND RAPIDS, MI, 49503",81,2100,2010,-85.65985,42.959736,368.1835
867,101060,KNAPP PARTY STORE,701 KNAPP ST NE,GRAND RAPIDS,MI,49505,4274,Active,2/26/10,213631.5,NA,NA,NA,NA,NA,NA,NA,31713,35299.5,28847.5,32753.5,28748,30348,25922,213631.5,"701 Knapp St NE, GRAND RAPIDS, MI, 49505",81,400,3009,-85.65332,42.999043,213.6315
893,101090,BIG JOES BAR & GRILLE,33 APPLEWOOD DR,SPARTA,MI,49345,NA,Active,4/8/10,219911.5,NA,NA,NA,NA,NA,NA,NA,17486,39446.5,40623.5,20095,38012.5,35752,28496,219911.5,"33 Applewood Dr NW, SPARTA, MI, 49345",81,10402,1029,-85.72166,43.160885,219.9115
924,101136,THE AVENUE PARTY STORE,723 MICHIGAN ST NE,GRAND RAPIDS,MI,49503,3521,Terminated,12/22/09,34724,NA,NA,NA,NA,NA,NA,309.5,34414.5,NA,NA,NA,NA,NA,NA,34724,"723 Michigan St NE, GRAND RAPIDS, MI, 49503",81,2200,1023,-85.65105,42.97009,34.724
949,101165,HUB'S INN RESTAURANT,1645 LEONARD NW,GRAND RAPIDS,MI,49504,3969,Terminated,2/17/10,309228,NA,NA,NA,NA,NA,NA,NA,194981,114247,NA,NA,NA,NA,NA,309228,"1645 Leonard St NW, GRAND RAPIDS, MI, 49504",81,600,1026,-85.70912,42.985966,309.228
987,101215,TRAJAN JEWELRY,2407 EASTERN SE,GRAND RAPIDS,MI,49507,NA,Terminated,4/1/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2407 Eastern Ave SE, GRAND RAPIDS, MI, 49507",81,4100,1025,-85.647545,42.919872,0
1039,101295,MARATHON C STORE,1405 BURTON ST SE,GRAND RAPIDS,MI,49507,3744,Terminated,2/19/10,745172.5,NA,NA,NA,NA,NA,NA,NA,399667,345505.5,NA,NA,NA,NA,NA,745172.5,"1405 Burton St SE, GRAND RAPIDS, MI, 49507",81,3500,2023,-85.63308,42.92716,745.1725
1052,101317,DUTTON LIQUOR,3555 68TH SE  STE 10,CALEDONIA,MI,49316,NA,Active,5/6/10,663125,NA,NA,NA,NA,NA,NA,NA,35326,65030,68944.5,116750.5,144363,134270,98441,663125,"3555 68th St SE, CALEDONIA, MI, 49316",81,14804,3010,-85.57866,42.841118,663.125
1057,101324,RAI PARTY STORE INC,2305 LEE ST,WYOMING,MI,49519,NA,Active,4/19/10,1254773,NA,NA,NA,NA,NA,NA,NA,61997.5,139246,149763,181087,272315,266903.5,183461,1254773,"2305 Lee St SW, WYOMING, MI, 49519",81,13400,1056,-85.72206,42.92154,1254.773
1079,101356,O&E PARTY STORE INC,1425 EASTERN SE,GRAND RAPIDS,MI,49507,NA,Active,4/19/10,1225295,NA,NA,NA,NA,NA,NA,NA,113957,167487.5,207709.5,202431.5,225402.5,189036,119271,1225295,"1425 Eastern Ave SE, GRAND RAPIDS, MI, 49507",81,3600,1017,-85.648926,42.93749,1225.295
1120,101418,CHARLEYS PUB & GRILL,1339 28TH ST SW,WYOMING,MI,49509,NA,Terminated,7/26/10,697931.5,NA,NA,NA,NA,NA,NA,NA,30251,113254,122236,146810,149044.5,96848,39488,697931.5,"1339 28th St SW, WYOMING, MI, 49509",81,13500,1015,-85.69992,42.91344,697.9315
1154,101466,GALEWOOD FOODS,1149 BURTON ST SW,WYOMING,MI,49509,1434,Active,4/17/10,477522.5,NA,NA,NA,NA,NA,NA,NA,54371.5,63022,47614.5,52186.5,78509.5,102441.5,79377,477522.5,"1149 Burton St SW, WYOMING, MI, 49509",81,13300,2035,-85.695435,42.92803,477.5225
1166,101481,36TH STREET SPORTS LOUNGE,945 36TH ST,WYOMING,MI,49509,NA,Active,10/26/10,860036,NA,NA,NA,NA,NA,NA,NA,11421,106465.5,94808.5,146291,224653,173628,102769,860036,"945 36th St SW, WYOMING, MI, 49509",81,13700,2014,-85.68834,42.898834,860.036
1167,101482,KENTWOOD PHARMACY EASTGATE,2026 BOSTON ST SE,GRAND RAPIDS,MI,49506,4196,Terminated,8/17/10,118685.5,NA,NA,NA,NA,NA,NA,NA,118685.5,0,NA,NA,NA,NA,NA,118685.5,"2026 Boston St SE, GRAND RAPIDS, MI, 49506",81,3400,2001,-85.618614,42.93435,118.6855
1183,101506,AMERICAN LEGION POST 102,330 ROCKFORD PARK DR,ROCKFORD,MI,49341,NA,Active,4/29/10,441447.5,NA,NA,NA,NA,NA,NA,NA,46186,72002,72550,78467,73883,57303,41056.5,441447.5,"330 Rockford Park Dr NE, ROCKFORD, MI, 49341",81,10700,2000,-85.55181,43.141132,441.4475
1241,101576,BOTTLE NECKS,2355 FULLER AVE NE,GRAND RAPIDS,MI,49505,4367,Active,5/8/10,1549040.5,NA,NA,NA,NA,NA,NA,NA,63994.5,149430,162935,243281,355622,317184,256594,1549040.5,"2355 Fuller Ave NE, GRAND RAPIDS, MI, 49505",81,400,2005,-85.63986,43.00565,1549.0405
1281,101621,BRETON VILLAGE MOBIL,2411 BURTON SE,GRAND RAPIDS,MI,49546,4805,Active,4/28/10,1382205.5,NA,NA,NA,NA,NA,NA,NA,58414,146142,163359.5,243624.5,316719.5,262769.5,191176.5,1382205.5,"2411 Burton St SE, GRAND RAPIDS, MI, 49546",81,4400,5012,-85.60902,42.927155,1382.2055
1282,101622,DOWNTOWN MOBIL,248 CHERRY ST SW,GRAND RAPIDS,MI,49503,4004,Active,6/4/10,954058.5,NA,NA,NA,NA,NA,NA,NA,34495,172043,130998,106313.5,185289,158610.5,166309.5,954058.5,"248 Cherry St SW, GRAND RAPIDS, MI, 49503",81,2600,1015,-85.67456,42.959717,954.0585
1327,101677,TAILGATERS SPORTS BAR,3075 28TH ST SW,GRANDVILLE,MI,49418,1108,Terminated,7/26/10,116569,NA,NA,NA,NA,NA,NA,NA,45539,71030,NA,NA,NA,NA,NA,116569,"3075 28th St SW, GRANDVILLE, MI, 49418",81,13000,1014,-85.74056,42.913647,116.569
1333,101682,RON'S QUICK STOP,1115 BRIDGE ST NW,GRAND RAPIDS,MI,49504,5037,Active,5/21/10,946486,NA,NA,NA,NA,NA,NA,NA,46716.5,96873,104420.5,135982,170832,222486.5,169175.5,946486,"1115 Bridge St NW, GRAND RAPIDS, MI, 49504",81,1900,4022,-85.696106,42.97099,946.486
1377,101735,GUDDI'S CORNER,1220 COLLEGE AVE NE,GRAND RAPIDS,MI,49505,5141,Terminated,7/1/10,367124,NA,NA,NA,NA,NA,NA,NA,18333.5,72823,79645,121878.5,74444,NA,NA,367124,"1220 College Ave NE, GRAND RAPIDS, MI, 49505",81,1000,3025,-85.657104,42.985367,367.124
1394,101763,84TH STREET PUB & GRILLE,8282 PFEIFFER FARMS DR SWSTE B,BYRON CENTER,MI,49315,8288,Active,8/26/10,2355138,NA,NA,NA,NA,NA,NA,NA,63085,221325.5,245958.5,363742,447026,570501,443500,2355138,"8282 Pfeiffer Farms Dr SW, BYRON CENTER, MI, 49315",81,14602,4011,-85.672165,42.812473,2355.138
1398,101767,BALL PARK PARTY STORE,1157 W FULTON ST,GRAND RAPIDS,MI,49504,6116,Terminated,6/30/10,473614.5,NA,NA,NA,NA,NA,NA,NA,51622.5,152173.5,199180.5,70638,NA,NA,NA,473614.5,"1157 W Fulton St, GRAND RAPIDS, MI, 49504",81,1900,3017,-85.696266,42.963776,473.6145
1460,101842,GRAND RAPIDS GAS INC #12,3214 28TH ST SE,KENTWOOD,MI,49512,1631,Terminated,7/20/10,43233,NA,NA,NA,NA,NA,NA,NA,43233,0,NA,NA,NA,NA,NA,43233,"3214 28th St SE, KENTWOOD, MI, 49512",81,12608,1008,-85.58798,42.912487,43.233
1462,101844,GRAND RAPIDS GAS INC #11,1980 44TH ST SE,KENTWOOD,MI,49508,5049,Terminated,7/23/10,1140077,NA,NA,NA,NA,NA,NA,NA,74969.5,197220,203528,222799.5,301618.5,139941.5,NA,1140077,"1980 44th St SE, KENTWOOD, MI, 49508",81,12701,2003,-85.61745,42.88369,1140.077
1476,101863,WAALKE'S FOOD MARKET,1155 CHICAGO DR SW,WYOMING,MI,49509,1003,Active,7/20/10,1454537,NA,NA,NA,NA,NA,NA,NA,125468.5,265387.5,223284.5,204704,218019,264926.5,152747,1454537,"1155 Chicago Dr SW, WYOMING, MI, 49509",81,13300,1037,-85.69534,42.9355,1454.537
1492,101880,STOCKBRIDGE PARTY STORE,634 BRIDGE NW,GRAND RAPIDS,MI,49504,5334,Terminated,9/8/10,243194,NA,NA,NA,NA,NA,NA,NA,5816.5,34186,45676,41765.5,83739,32011,NA,243194,"634 Bridge St NW, GRAND RAPIDS, MI, 49504",81,1900,4027,-85.68412,42.970665,243.194
1504,101892,NORTH KENT FOE AERIE 3430,186 E DIVISION ST,SPARTA,MI,49345,1331,Active,8/17/10,1559907.5,NA,NA,NA,NA,NA,NA,NA,33029,171291.5,241398,284892,316203,307970,205124,1559907.5,"186 E Division St, SPARTA, MI, 49345",81,10402,2006,-85.705475,43.160717,1559.9075
1518,101907,BOSTON SQUARE SHELL#4055,1562 KALAMAZOO AVE SE,GRAND RAPIDS,MI,49507,2130,Active,8/1/10,1954896,NA,NA,NA,NA,NA,NA,NA,117621,293993,286113,289965,321407.5,379094,266702.5,1954896,"1562 Kalamazoo Ave SE, GRAND RAPIDS, MI, 49507",81,3500,2024,-85.639175,42.93463,1954.896
1519,101908,CASCADE HILLS SHELL 4075,4033 CASCADE RD SE,GRAND RAPIDS,MI,49546,2149,Active,8/1/10,928447,NA,NA,NA,NA,NA,NA,NA,43127.5,124619,132595.5,144346.5,193998.5,170492,119268,928447,"4033 Cascade Rd SE, GRAND RAPIDS, MI, 49546",81,11804,2030,-85.56947,42.94779,928.447
1522,101911,54TH/DIVIS'N SHELL #4200,5381 S DIVISION AVE,GRAND RAPIDS,MI,49548,5607,Active,8/1/10,2357915.5,NA,NA,NA,NA,NA,NA,NA,128355,326113.5,301204.5,321996,393671.5,474986.5,411588.5,2357915.5,"5381 S Division Ave, GRAND RAPIDS, MI, 49548",81,14300,2011,-85.66413,42.866398,2357.9155
1531,101920,MICH/FULLER SHELL #4570,1201 MICHIGAN ST NE,GRAND RAPIDS,MI,49503,2001,Active,8/1/10,1490541.5,NA,NA,NA,NA,NA,NA,NA,73408.5,174618.5,187314,204075.5,289986.5,287208,273930.5,1490541.5,"1201 Michigan St NE, GRAND RAPIDS, MI, 49503",81,2300,2007,-85.63938,42.969994,1490.5415
1533,101922,MONROE/ANN SHELL #4620,1801 MONROE AVE NW,GRAND RAPIDS,MI,49505,6240,Active,8/1/10,1688167.5,NA,NA,NA,NA,NA,NA,NA,71336.5,190140,153760.5,253472,410326,341719,267413.5,1688167.5,"1801 Monroe Ave NW, GRAND RAPIDS, MI, 49505",81,900,1006,-85.67038,42.99828,1688.1675
1536,101925,28TH/BRETON SHELL #4830,2363 28TH ST SE,GRAND RAPIDS,MI,49508,1561,Active,8/1/10,1526854,NA,NA,NA,NA,NA,NA,NA,97923,225441.5,205595.5,225782.5,264500.5,279934.5,227676.5,1526854,"2363 28th St SE, GRAND RAPIDS, MI, 49508",81,4300,3009,-85.60865,42.91265,1526.854
1537,101926,GRANDVILLE SHELL #4850,3960 28TH ST SW,GRANDVILLE,MI,49418,1385,Active,8/1/10,597544.5,NA,NA,NA,NA,NA,NA,NA,32854.5,83535.5,62894,81221.5,121030.5,110340.5,105668,597544.5,"3960 28th St SW, GRANDVILLE, MI, 49418",81,13000,3030,-85.76313,42.913666,597.5445
1538,101927,28TH/E PARIS SHELL #4860,3960 28TH ST SE,KENTWOOD,MI,49512,1806,Active,8/1/10,1446563.5,NA,NA,NA,NA,NA,NA,NA,66182,172625.5,177032,224956.5,272971,273815,258981.5,1446563.5,"3960 28th St SE, KENTWOOD, MI, 49512",81,12608,1005,-85.568115,42.91253,1446.5635
1550,101939,BROADMOOR CONVENIENCE STORE,6773 BROADMOOR AVE SE,CALEDONIA,MI,49316,9511,Active,8/25/10,1795646,NA,NA,NA,NA,NA,NA,NA,96608,307064.5,255965.5,321904,307676,268798,237630,1795646,"6773 Broadmoor Ave SE, CALEDONIA, MI, 49316",81,14807,1023,-85.53154,42.841152,1795.646
1599,102004,PEPPINO'S,1515 EASTPORT DR SE,GRAND RAPIDS,MI,49508,7885,Active,10/12/10,1622561.5,NA,NA,NA,NA,NA,NA,NA,39966,234092.5,191795,224039.5,308064.5,347282,277322,1622561.5,"1515 Eastport Dr, GRAND RAPIDS, MI, 49508",81,14804,1000,-85.62864,42.85024,1622.5615
1603,102008,GRAND RAPIDS GAS INC #14,2354 CLYDE PARK AVE SW,GRAND RAPIDS,MI,49509,1545,Terminated,9/1/10,416635.5,NA,NA,NA,NA,NA,NA,NA,68787,203397,144451.5,NA,NA,NA,NA,416635.5,"2354 Clyde Park Ave SW, GRAND RAPIDS, MI, 49509",81,4000,2027,-85.68597,42.921047,416.6355
1624,102031,GRAND RAPIDS GAS INC #15,5200 DIVISION AVE,KENTWOOD,MI,49548,5606,Terminated,9/8/10,681841,NA,NA,NA,NA,NA,NA,NA,11731.5,130208,209046.5,162519,160109.5,8226.5,NA,681841,"5200 S Division Ave, KENTWOOD, MI, 49548",81,12902,2002,-85.66421,42.869373,681.841
1645,102057,JT'S PIZZA DEPOT,6720 OLD 28TH SE,GRAND RAPIDS,MI,49546,6924,Active,1/31/11,566278,NA,NA,NA,NA,NA,NA,NA,NA,33697.5,66469,78594.5,95940,91357,200220,566278,"6720 Old 28th St SE, GRAND RAPIDS, MI, 49546",81,12201,2010,-85.503426,42.913486,566.278
1655,102067,SHEPARDS GRILL & TAVERN,6246 28TH ST SESUITE C,GRAND RAPIDS,MI,49546,6945,Active,11/19/10,1819986,NA,NA,NA,NA,NA,NA,NA,15275,287149.5,289616.5,305919.5,344042,350962,227021.5,1819986,"6246 28th St SE, GRAND RAPIDS, MI, 49546",81,12203,1000,-85.513084,42.913094,1819.986
1664,102077,WEST SIDE PARTY STORE,900 WALKER NW,GRAND RAPIDS,MI,49504,4353,Terminated,11/24/10,64537.5,NA,NA,NA,NA,NA,NA,NA,621,36778,23326,3812.5,NA,NA,NA,64537.5,"900 Walker Ave NW, GRAND RAPIDS, MI, 49504",81,1600,3003,-85.6912,42.978287,64.5375
1708,102137,FAIRLANES,3335 FAIRLANES AVE SW,GRANDVILLE,MI,49418,1531,Active,10/22/10,310614.5,NA,NA,NA,NA,NA,NA,NA,14626,46733,50435,40316.5,59455,60552,38497,310614.5,"3335 Fairlanes Ave SW, GRANDVILLE, MI, 49418",81,13100,2002,-85.77589,42.904736,310.6145
1721,102152,SMOKERS DISCOUNT,2035 28TH ST SESUITE K,GRAND RAPIDS,MI,49508,NA,Terminated,10/20/10,142179,NA,NA,NA,NA,NA,NA,NA,7552.5,88006.5,40113.5,6506.5,NA,NA,NA,142179,"2035 28th St SE, GRAND RAPIDS, MI, 49508",81,4300,1013,-85.61786,42.91265,142.179
1750,102191,LEO GAS & FOOD LLC,1639 LEONARD ST NW,GRAND RAPIDS,MI,49504,3969,Active,11/11/10,1324151.5,NA,NA,NA,NA,NA,NA,NA,13552.5,179347,184798,244713,282180.5,229285.5,190275,1324151.5,"1639 Leonard St NW, GRAND RAPIDS, MI, 49504",81,600,1026,-85.70903,42.985966,1324.1515
1783,102232,SINGH & SHARMA,3214 28TH ST SE,KENTWOOD,MI,49512,1631,Terminated,12/1/10,90472.5,NA,NA,NA,NA,NA,NA,NA,5203,85269.5,NA,NA,NA,NA,NA,90472.5,"3214 28th St SE, KENTWOOD, MI, 49512",81,12608,1008,-85.58798,42.912487,90.4725
1805,102258,TRUCK STOP DINER,460 76TH ST SW,BYRON CENTER,MI,49315,0,Terminated,12/16/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"460 76th St SW, BYRON CENTER, MI, 49315",81,14602,4011,-85.674774,42.826275,0
1813,102268,S&K PETROLEUM #1,5189 28TH ST SE,GRAND RAPIDS,MI,49512,2050,Terminated,11/23/10,48232.5,NA,NA,NA,NA,NA,NA,NA,335,32348.5,15549,NA,NA,NA,NA,48232.5,"5189 28th St SE, GRAND RAPIDS, MI, 49512",81,12203,1012,-85.54089,42.91274,48.2325
1819,102278,BELTLINE BAR,16 28TH ST SE,GRAND RAPIDS,MI,49548,NA,Active,12/1/10,763391,NA,NA,NA,NA,NA,NA,NA,5113,88487,104931.5,111410,147584.5,169421.5,136443.5,763391,"16 28th St SE, GRAND RAPIDS, MI, 49548",81,4100,2029,-85.665436,42.913,763.391
1831,102293,WYOMING LIQUOR,1633 28TH ST SW,WYOMING,MI,49519,2608,Terminated,1/12/11,220220.5,NA,NA,NA,NA,NA,NA,NA,NA,38982.5,58696.5,64369.5,58172,NA,NA,220220.5,"1633 28th St SW, WYOMING, MI, 49519",81,13400,2000,-85.70622,42.913548,220.2205
1832,102294,KENTWOOD LIQUOR,5416 S DIVISION AVE,KENTWOOD,MI,49548,5721,Active,5/12/11,671796,NA,NA,NA,NA,NA,NA,NA,NA,48186,104363,146001,153914.5,118773.5,100558,671796,"5416 S Division Ave, KENTWOOD, MI, 49548",81,12902,2000,-85.66406,42.865532,671.796
1840,102303,ADMIRAL PETROLEUM #177,5 28TH STREET SW,WYOMING,MI,49548,1109,Active,12/11/10,1121520.5,NA,NA,NA,NA,NA,NA,NA,1004.5,181086.5,194044,195117.5,194171,212290,143807,1121520.5,"5 28th St SW, WYOMING, MI, 49548",81,13600,1018,-85.66631,42.913067,1121.5205
1846,102310,BRETON BP,2411 28TH ST SE,GRAND RAPIDS,MI,49512,1614,Active,12/8/10,1239739.5,NA,NA,NA,NA,NA,NA,NA,575.5,128486,184816.5,206952,227905,256923,234081.5,1239739.5,"2411 28th St SE, GRAND RAPIDS, MI, 49512",81,4400,4028,-85.60789,42.91265,1239.7395
1849,102313,MARN E WALKERS,4322 REMEMBRANCE RD,WALKER,MI,49534,1194,Terminated,1/6/11,172341.5,NA,NA,NA,NA,NA,NA,NA,NA,82677.5,80652,9012,NA,NA,NA,172341.5,"4322 Remembrance Rd NW, WALKER, MI, 49534",81,11600,5011,-85.77551,43.00731,172.3415
1857,102321,SAND LAKE FOODS,59 E LAKE,SAND LAKE,MI,49343,5113,Terminated,1/19/11,87565,NA,NA,NA,NA,NA,NA,NA,NA,16786,70779,0,NA,NA,NA,87565,"59 E Lake St, SAND LAKE, MI, 49343",81,10101,1055,-85.51616,43.29196,87.565
1865,102329,THE HOLIDAY BAR,801 5TH ST NW,GRAND RAPIDS,MI,49504,5134,Active,3/30/11,678599,NA,NA,NA,NA,NA,NA,NA,NA,71338,82285,143633,140673,133006,107664,678599,"801 5th St NW, GRAND RAPIDS, MI, 49504",81,1600,3014,-85.68792,42.9762,678.599
1874,102339,GRAND RAPIDS GAS INC #16,1045 CHICAGO DR SW,WYOMING,MI,49509,1107,Terminated,12/21/10,588744.5,NA,NA,NA,NA,NA,NA,NA,NA,107007,137906.5,128475.5,182068,33287.5,NA,588744.5,"1045 Chicago Dr SW, WYOMING, MI, 49509",81,13300,1020,-85.6934,42.935524,588.7445
1883,102350,TRUCK STOP DINER,460-2 76TH ST SW,BYRON CENTER,MI,49315,NA,Terminated,4/1/11,238390,NA,NA,NA,NA,NA,NA,NA,NA,44370,88013,79836,26171,NA,NA,238390,"460 76th St SW, BYRON CENTER, MI, 49315",81,14602,4011,-85.674774,42.826275,238.39
